[06-May-2022 17:15:18 America/Argentina/Tucuman] PHP Warning:  chdir(): No such file or directory (errno 2) in /home/sispoc5/public_html/clienteflash/XMLHttpRequest/EstadosManuales/AjaxEstadoManual.php on line 162
[06-May-2022 17:16:34 America/Argentina/Tucuman] PHP Warning:  scandir(/home/sispoc5/noborrar_en_public_html/zonificacion/Android/Clases): failed to open dir: Permission denied in /home/sispoc5/public_html/LimpiarErrores.php on line 3
[06-May-2022 17:16:34 America/Argentina/Tucuman] PHP Warning:  scandir(): (errno 13): Permission denied in /home/sispoc5/public_html/LimpiarErrores.php on line 3
[06-May-2022 17:16:34 America/Argentina/Tucuman] PHP Warning:  Invalid argument supplied for foreach() in /home/sispoc5/public_html/LimpiarErrores.php on line 6
[06-May-2022 17:16:34 America/Argentina/Tucuman] PHP Warning:  scandir(/home/sispoc5/noborrar_en_public_html/zonificacion/Android/RuSispo/Clases): failed to open dir: Permission denied in /home/sispoc5/public_html/LimpiarErrores.php on line 3
[06-May-2022 17:16:34 America/Argentina/Tucuman] PHP Warning:  scandir(): (errno 13): Permission denied in /home/sispoc5/public_html/LimpiarErrores.php on line 3
[06-May-2022 17:16:34 America/Argentina/Tucuman] PHP Warning:  Invalid argument supplied for foreach() in /home/sispoc5/public_html/LimpiarErrores.php on line 6
[06-May-2022 17:16:36 America/Argentina/Tucuman] PHP Warning:  chdir(): No such file or directory (errno 2) in /home/sispoc5/public_html/clienteflash/XMLHttpRequest/EstadosManuales/AjaxEstadoManual.php on line 162
[06-May-2022 17:16:50 America/Argentina/Tucuman] PHP Warning:  chdir(): No such file or directory (errno 2) in /home/sispoc5/public_html/clienteflash/XMLHttpRequest/EstadosManuales/AjaxEstadoManual.php on line 162
[06-May-2022 17:18:43 America/Argentina/Tucuman] PHP Warning:  chdir(): No such file or directory (errno 2) in /home/sispoc5/public_html/clienteflash/XMLHttpRequest/EstadosManuales/AjaxEstadoManual.php on line 162
[06-May-2022 17:19:00 America/Argentina/Tucuman] PHP Warning:  chdir(): No such file or directory (errno 2) in /home/sispoc5/public_html/clienteflash/XMLHttpRequest/EstadosManuales/AjaxEstadoManual.php on line 162
[06-May-2022 17:19:57 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function add() on null in /home/sispoc5/public_html/application/controllers/piezas/Rendiciones.php on line 197
[06-May-2022 17:24:30 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[06-May-2022 17:43:39 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[06-May-2022 17:44:38 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[06-May-2022 18:12:08 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result_array() on boolean in /home/sispoc5/public_html/application/controllers/ajax/Hojas_rutas.php on line 849
[07-May-2022 09:20:50 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:20:52 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:20:55 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:20:57 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:21:00 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:21:10 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:21:11 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:31:28 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:31:31 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:31:35 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 09:51:08 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 10:27:31 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 10:27:33 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 10:27:38 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[07-May-2022 10:27:41 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
